"year","desc","count"
"2010","OFFENSES INVOLVING FRAUD",2289
"2010","OFFENSES RELATED TO CHILDREN",156
"2010","OTHER OFFENSES RELATED TO THEF",959
"2010","OTHER STATE LAWS",40
"2010","OTHER STATE LAWS (NON PENAL LA",581
"2010","PETIT LARCENY",81412
"2010","PETIT LARCENY OF MOTOR VEHICLE",57
"2010","POSSESSION OF STOLEN PROPERTY",3101
"2010","PROSTITUTION & RELATED OFFENSES",86
"2010","RAPE",1402
"2010","ROBBERY",19598
"2010","SEX CRIMES",5549
"2010","THEFT-FRAUD",5121
"2010","THEFT OF SERVICES",321
"2010","UNAUTHORIZED USE OF A VEHICLE",1312
"2010","UNLAWFUL POSS. WEAP. ON SCHOOL",5
"2010","VEHICLE AND TRAFFIC LAWS",6624
"2011","",1625
"2011","ADMINISTRATIVE CODE",1154
"2011","ADMINISTRATIVE CODES",1
"2011","ALCOHOLIC BEVERAGE CONTROL LAW",79
"2011","ANTICIPATORY OFFENSES",9
"2011","ARSON",1248
"2011","ASSAULT 3 & RELATED OFFENSES",50864
"2011","BURGLAR'S TOOLS",273
"2011","BURGLARY",18863
"2011","CHILD ABANDONMENT/NON SUPPORT",40
"2011","CRIMINAL MISCHIEF & RELATED OF",49249
"2011","CRIMINAL TRESPASS",6833
"2011","DANGEROUS DRUGS",38448
"2011","DANGEROUS WEAPONS",13643
"2011","DISORDERLY CONDUCT",119
"2011","DISRUPTION OF A RELIGIOUS SERV",4
"2011","ENDAN WELFARE INCOMP",9
"2011","ESCAPE 3",11
"2011","FELONY ASSAULT",18564
"2011","FORGERY",4004
"2011","FRAUDS",3201
"2011","FRAUDULENT ACCOSTING",292
"2011","GAMBLING",152
"2011","GRAND LARCENY",38902
"2011","GRAND LARCENY OF MOTOR VEHICLE",9288
"2011","HARRASSMENT 2",54242
"2011","HOMICIDE-NEGLIGENT-VEHICLE",11
"2011","HOMICIDE-NEGLIGENT,UNCLASSIFIE",3
"2011","INTOXICATED & IMPAIRED DRIVING",6027
"2011","INTOXICATED/IMPAIRED DRIVING",5
"2011","JOSTLING",33
"2011","KIDNAPPING & RELATED OFFENSES",202
"2011","LOITERING",2
"2011","LOITERING/GAMBLING (CARDS, DIC",16
"2011","MISCELLANEOUS PENAL LAW",11432
"2011","MURDER & NON-NEGL. MANSLAUGHTER",494
"2011","NEW YORK CITY HEALTH CODE",6
"2011","NYS LAWS-UNCLASSIFIED FELONY",312
"2011","OFF. AGNST PUB ORD SENSBLTY &",28030
"2011","OFFENSES AGAINST PUBLIC ADMINI",11056
"2011","OFFENSES AGAINST PUBLIC SAFETY",88
"2011","OFFENSES AGAINST THE PERSON",1200
"2011","OFFENSES INVOLVING FRAUD",1971
"2011","OFFENSES RELATED TO CHILDREN",173
"2011","OTHER OFFENSES RELATED TO THEF",917
"2011","OTHER STATE LAWS",19
"2011","OTHER STATE LAWS (NON PENAL LA",610
"2011","OTHER TRAFFIC INFRACTION",1
"2011","PETIT LARCENY",81145
"2011","PETIT LARCENY OF MOTOR VEHICLE",67
"2011","POSSESSION OF STOLEN PROPERTY",3657
"2011","PROSTITUTION & RELATED OFFENSES",80
"2011","RAPE",1432
"2011","ROBBERY",19778
"2011","SEX CRIMES",5673
"2011","THEFT-FRAUD",5624
"2011","THEFT OF SERVICES",325
"2011","UNAUTHORIZED USE OF A VEHICLE",1312
"2011","UNLAWFUL POSS. WEAP. ON SCHOOL",8
"2011","VEHICLE AND TRAFFIC LAWS",5823
"2012","",1654
"2012","ADMINISTRATIVE CODE",1149
"2012","ADMINISTRATIVE CODES",4
"2012","ALCOHOLIC BEVERAGE CONTROL LAW",92
"2012","ANTICIPATORY OFFENSES",8
"2012","ARSON",1254
"2012","ASSAULT 3 & RELATED OFFENSES",54500
"2012","BURGLAR'S TOOLS",292
"2012","BURGLARY",19312
"2012","CHILD ABANDONMENT/NON SUPPORT",25
"2012","CRIMINAL MISCHIEF & RELATED OF",47792
"2012","CRIMINAL TRESPASS",5795
"2012","DANGEROUS DRUGS",34681
"2012","DANGEROUS WEAPONS",12093
"2012","DISORDERLY CONDUCT",98
"2012","DISRUPTION OF A RELIGIOUS SERV",4
"2012","ENDAN WELFARE INCOMP",17
"2012","ESCAPE 3",11
"2012","FELONY ASSAULT",19561
"2012","FORGERY",3818
"2012","FORTUNE TELLING",3
"2012","FRAUDS",3530
"2012","FRAUDULENT ACCOSTING",297
"2012","GAMBLING",190
"2012","GRAND LARCENY",42988
"2012","GRAND LARCENY OF MOTOR VEHICLE",8068
"2012","HARRASSMENT 2",57029
"2012","HOMICIDE-NEGLIGENT-VEHICLE",13
"2012","HOMICIDE-NEGLIGENT,UNCLASSIFIE",16
"2012","INTOXICATED & IMPAIRED DRIVING",6727
"2012","INTOXICATED/IMPAIRED DRIVING",5
"2012","JOSTLING",47
"2012","KIDNAPPING & RELATED OFFENSES",200
"2012","KIDNAPPING AND RELATED OFFENSES",1
"2012","LOITERING",3
"2012","LOITERING/GAMBLING (CARDS, DIC",9
"2012","MISCELLANEOUS PENAL LAW",12087
"2012","MURDER & NON-NEGL. MANSLAUGHTER",413
"2012","NEW YORK CITY HEALTH CODE",1
"2012","NYS LAWS-UNCLASSIFIED FELONY",336
"2012","OFF. AGNST PUB ORD SENSBLTY &",27424
"2012","OFFENSES AGAINST MARRIAGE UNCL",1
"2012","OFFENSES AGAINST PUBLIC ADMINI",10718
"2012","OFFENSES AGAINST PUBLIC SAFETY",105
"2012","OFFENSES AGAINST THE PERSON",1240
"2012","OFFENSES INVOLVING FRAUD",1676
"2012","OFFENSES RELATED TO CHILDREN",182
"2012","OTHER OFFENSES RELATED TO THEF",1071
"2012","OTHER STATE LAWS",20
"2012","OTHER STATE LAWS (NON PENAL LA",449
"2012","OTHER STATE LAWS (NON PENAL LAW)",3
"2012","OTHER TRAFFIC INFRACTION",3
"2012","PETIT LARCENY",83168
"2012","PETIT LARCENY OF MOTOR VEHICLE",66
"2012","POSSESSION OF STOLEN PROPERTY",3384
"2012","PROSTITUTION & RELATED OFFENSES",76
"2012","RAPE",1424
"2012","ROBBERY",20173
"2012","SEX CRIMES",5652
"2012","THEFT-FRAUD",6154
"2012","THEFT OF SERVICES",637
"2012","UNAUTHORIZED USE OF A VEHICLE",1411
"2012","UNLAWFUL POSS. WEAP. ON SCHOOL",5
"2012","VEHICLE AND TRAFFIC LAWS",5570
"2013","",1559
"2013","ABORTION",1
"2013","ADMINISTRATIVE CODE",1125
"2013","ADMINISTRATIVE CODES",1
"2013","ALCOHOLIC BEVERAGE CONTROL LAW",64
"2013","ANTICIPATORY OFFENSES",8
"2013","ARSON",1183
"2013","ASSAULT 3 & RELATED OFFENSES",53547
"2013","BURGLAR'S TOOLS",288
"2013","BURGLARY",17422
"2013","CHILD ABANDONMENT/NON SUPPORT",38
"2013","CRIMINAL MISCHIEF & RELATED OF",43899
"2013","CRIMINAL TRESPASS",4986
"2013","DANGEROUS DRUGS",29441
"2013","DANGEROUS WEAPONS",11663
"2013","DISORDERLY CONDUCT",87
"2013","DISRUPTION OF A RELIGIOUS SERV",5
"2013","ENDAN WELFARE INCOMP",18
"2013","ESCAPE 3",10
"2013","FELONY ASSAULT",20403
"2013","FORGERY",4218
"2013","FRAUDS",3347
"2013","FRAUDULENT ACCOSTING",187
"2013","GAMBLING",132
"2013","GRAND LARCENY",45529
"2013","GRAND LARCENY OF MOTOR VEHICLE",7353
"2013","HARRASSMENT 2",57648
"2013","HOMICIDE-NEGLIGENT-VEHICLE",12
"2013","HOMICIDE-NEGLIGENT,UNCLASSIFIE",18
"2013","INTOXICATED & IMPAIRED DRIVING",8237
"2013","INTOXICATED/IMPAIRED DRIVING",5
"2013","JOSTLING",30
"2013","KIDNAPPING & RELATED OFFENSES",176
"2013","LOITERING",1
"2013","LOITERING/GAMBLING (CARDS, DIC",12
"2013","MISCELLANEOUS PENAL LAW",13092
"2013","MURDER & NON-NEGL. MANSLAUGHTER",321
"2013","NEW YORK CITY HEALTH CODE",10
"2013","NYS LAWS-UNCLASSIFIED FELONY",341
"2013","OFF. AGNST PUB ORD SENSBLTY &",26975
"2013","OFFENSES AGAINST PUBLIC ADMINI",10683
"2013","OFFENSES AGAINST PUBLIC SAFETY",96
"2013","OFFENSES AGAINST THE PERSON",1367
